epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2655.1,0.64666,0.27999,0.00229,0.95894,0.92753,0.96193,0.72675,0.97499,0.35654,0.00334,0.000784614,0.000784614,0.000784614
111,2679.01,0.63332,0.27938,0.00227,0.91816,0.9101,0.95265,0.70945,0.98846,0.43221,0.0035,0.000782638,0.000782638,0.000782638
112,2702.99,0.63045,0.28538,0.00223,0.96256,0.91793,0.96305,0.76605,0.82302,0.331,0.00292,0.000780662,0.000780662,0.000780662
113,2726.91,0.67745,0.29749,0.0024,0.93334,0.92427,0.9625,0.71739,0.99828,0.38216,0.00343,0.000778686,0.000778686,0.000778686
114,2750.93,0.66617,0.28057,0.00238,0.91172,0.90512,0.95478,0.7644,0.82531,0.40286,0.00292,0.00077671,0.00077671,0.00077671
115,2774.88,0.63021,0.28178,0.00225,0.95143,0.91021,0.96411,0.76055,0.85402,0.33409,0.00298,0.000774734,0.000774734,0.000774734
116,2798.69,0.63303,0.27672,0.00225,0.90569,0.93684,0.95258,0.75646,0.83939,0.38018,0.00298,0.000772758,0.000772758,0.000772758
117,2822.72,0.63276,0.28554,0.00223,0.9264,0.91603,0.95873,0.77403,0.79682,0.36907,0.00283,0.000770782,0.000770782,0.000770782
118,2846.74,0.65397,0.2849,0.00231,0.8964,0.93774,0.95364,0.75655,0.84028,0.39861,0.00296,0.000768806,0.000768806,0.000768806
119,2870.69,0.64645,0.27946,0.00231,0.90998,0.93545,0.95871,0.7681,0.82695,0.36214,0.00293,0.00076683,0.00076683,0.00076683
120,2894.79,0.61542,0.28392,0.0022,0.89826,0.93097,0.95818,0.75981,0.83854,0.40799,0.00297,0.000764854,0.000764854,0.000764854
121,2918.83,0.62005,0.2813,0.00223,0.93881,0.92486,0.96566,0.71487,1.03103,0.36213,0.00352,0.000762878,0.000762878,0.000762878
122,2942.78,0.63995,0.28124,0.00228,0.9731,0.91379,0.96451,0.75923,0.86988,0.32059,0.00306,0.000760902,0.000760902,0.000760902
123,2966.81,0.62872,0.28225,0.00219,0.94882,0.91362,0.96181,0.76609,0.83081,0.33788,0.00293,0.000758926,0.000758926,0.000758926
124,2990.85,0.6287,0.26911,0.00225,0.93004,0.93232,0.96493,0.76097,0.86049,0.33563,0.00301,0.00075695,0.00075695,0.00075695
125,3014.75,0.64042,0.29125,0.0023,0.96054,0.93864,0.97242,0.71295,1.05684,0.32946,0.00359,0.000754974,0.000754974,0.000754974
