epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,2727.92,0.69949,0.28701,0.00233,0.94086,0.90194,0.9339,0.70902,0.92076,0.35383,0.00354,0.0250204,0.00834014,0.0250204,0.00834014,0.0250204,0.00834014,0.0250204,0.00834014
86,2759.45,0.70486,0.29648,0.00236,0.93938,0.90726,0.9404,0.7508,0.78917,0.32135,0.00308,0.0249611,0.00832038,0.0249611,0.00832038,0.0249611,0.00832038,0.0249611,0.00832038
87,2791.06,0.69443,0.28739,0.00231,0.93515,0.91175,0.94022,0.76371,0.73124,0.3484,0.00289,0.0249019,0.00830062,0.0249019,0.00830062,0.0249019,0.00830062,0.0249019,0.00830062
88,2822.26,0.69268,0.28778,0.00233,0.89642,0.91914,0.92898,0.72027,0.90012,0.35424,0.00349,0.0248426,0.00828086,0.0248426,0.00828086,0.0248426,0.00828086,0.0248426,0.00828086
89,2853.68,0.68816,0.288,0.00228,0.93781,0.89802,0.93534,0.74956,0.78629,0.33602,0.00307,0.0247833,0.0082611,0.0247833,0.0082611,0.0247833,0.0082611,0.0247833,0.0082611
90,2885.1,0.68265,0.28806,0.0023,0.90733,0.91995,0.93151,0.75689,0.77181,0.34847,0.00304,0.024724,0.00824134,0.024724,0.00824134,0.024724,0.00824134,0.024724,0.00824134
91,2916.54,0.68157,0.2746,0.00227,0.93967,0.89485,0.94171,0.76176,0.74844,0.32777,0.00297,0.0246647,0.00822158,0.0246647,0.00822158,0.0246647,0.00822158,0.0246647,0.00822158
92,2947.84,0.68544,0.27513,0.00228,0.93102,0.90416,0.93832,0.76114,0.75335,0.31275,0.00298,0.0246055,0.00820182,0.0246055,0.00820182,0.0246055,0.00820182,0.0246055,0.00820182
93,2979.53,0.7045,0.28988,0.00236,0.94767,0.89503,0.94228,0.75792,0.77771,0.33448,0.00311,0.0245462,0.00818206,0.0245462,0.00818206,0.0245462,0.00818206,0.0245462,0.00818206
94,3011.34,0.68023,0.28249,0.00225,0.93474,0.90517,0.93472,0.76237,0.77785,0.34457,0.00305,0.0244869,0.0081623,0.0244869,0.0081623,0.0244869,0.0081623,0.0244869,0.0081623
95,3043,0.69593,0.28908,0.00232,0.93431,0.89576,0.93485,0.70215,0.94695,0.36292,0.00363,0.0244276,0.00814254,0.0244276,0.00814254,0.0244276,0.00814254,0.0244276,0.00814254
96,3074.81,0.69713,0.29621,0.00232,0.92072,0.89741,0.92874,0.75175,0.76182,0.33764,0.00301,0.0243683,0.00812278,0.0243683,0.00812278,0.0243683,0.00812278,0.0243683,0.00812278
